# Process                ,Final state              ,Cross section            ,Events expected          ,Path                                                                            ,Configuration            ,Filename tag             
e3e3h_cc                 ,e3e3h_cc                 ,0.196                    ,989.8                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_cc.e0.p0.whizard195        ,CEPC_V4                  ,e3e3h_cc.e0.p0           
e3e3h_e2e2               ,e3e3h_e2e2               ,0.00148                  ,7.474                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_e2e2.e0.p0.whizard195      ,CEPC_V4                  ,e3e3h_e2e2.e0.p0         
e3e3h_e3e3               ,e3e3h_e3e3               ,0.427                    ,2156.35                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_e3e3.e0.p0.whizard195      ,CEPC_V4                  ,e3e3h_e3e3.e0.p0         
e3e3h_gg                 ,e3e3h_gg                 ,0.578                    ,2918.9                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_gg.e0.p0.whizard195        ,CEPC_V4                  ,e3e3h_gg.e0.p0           
e3e3h_ss                 ,e3e3h_ss                 ,0.0                      ,0.0                      ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_ss.e0.p0.whizard195        ,CEPC_V4                  ,e3e3h_ss.e0.p0           
e3e3h_ww                 ,e3e3h_ww                 ,1.45                     ,7322.5                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_ww.e0.p0.whizard195        ,CEPC_V4                  ,e3e3h_ww.e0.p0           
#e3e3h_X                  ,e3e3h_X                  ,6.75                     ,34087.5                  ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_X.e0.p0.whizard195         ,CEPC_V4                  ,e3e3h_X.e0.p0            
e3e3h_zz                 ,e3e3h_zz                 ,0.178                    ,898.9                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pe3e3h_zz.e0.p0.whizard195        ,CEPC_V4                  ,e3e3h_zz.e0.p0           
nnh_aa                   ,nnh_aa                   ,0.106                    ,535.3                    ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_aa.e0.p0.whizard195          ,CEPC_V4                  ,nnh_aa.e0.p0             
nnh_az                   ,nnh_az                   ,0.0708                   ,357.54                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_az.e0.p0.whizard195          ,CEPC_V4                  ,nnh_az.e0.p0             
nnh_bb                   ,nnh_bb                   ,26.7                     ,134835.0                 ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_bb.e0.p0.whizard195          ,CEPC_V4                  ,nnh_bb.e0.p0             
nnh_cc                   ,nnh_cc                   ,1.35                     ,6817.5                   ,/cefs/data/DstData/CEPC240/CEPC_v4/higgs/E240.Pnnh_cc.e0.p0.whizard195          ,CEPC_V4                  ,nnh_cc.e0.p0             
